Arquivo,Algoritmo,Tamanho da memória,Tamanho da página,Page faults,Páginas escritas,Tempo de execução,Teste
compressor.log,FIFO,256,2,1249,423,18.038s,segundo_teste
compressor.log,FIFO,256,4,1467,514,16.752s,segundo_teste
compressor.log,FIFO,256,8,1804,639,17.496s,segundo_teste
compressor.log,FIFO,256,16,2862,1048,18.719s,segundo_teste
compressor.log,FIFO,256,32,10640,2148,17.574s,segundo_teste
compressor.log,FIFO,256,64,104991,34603,16.042s,segundo_teste
matriz.log,FIFO,256,2,20441,5336,17.966s,segundo_teste
matriz.log,FIFO,256,4,30422,7585,18.715s,segundo_teste
matriz.log,FIFO,256,8,77190,17371,17.272s,segundo_teste
matriz.log,FIFO,256,16,205727,46099,17.068s,segundo_teste
matriz.log,FIFO,256,32,314398,54456,19.037s,segundo_teste
matriz.log,FIFO,256,64,350270,56339,17.228s,segundo_teste
compilador.log,FIFO,256,2,59035,10040,18.425s,segundo_teste
compilador.log,FIFO,256,4,70315,12053,19.160s,segundo_teste
compilador.log,FIFO,256,8,92279,16308,18.347s,segundo_teste
compilador.log,FIFO,256,16,123445,22667,16.765s,segundo_teste
compilador.log,FIFO,256,32,170963,33391,19.339s,segundo_teste
compilador.log,FIFO,256,64,227915,48062,19.398s,segundo_teste
simulador.log,FIFO,256,2,34943,9856,18.068s,segundo_teste
simulador.log,FIFO,256,4,48301,11936,20.283s,segundo_teste
simulador.log,FIFO,256,8,78338,17772,16.600s,segundo_teste
simulador.log,FIFO,256,16,119307,28226,17.614s,segundo_teste
simulador.log,FIFO,256,32,174434,47044,19.061s,segundo_teste
simulador.log,FIFO,256,64,248262,75440,16.824s,segundo_teste
compressor.log,2A,256,2,1157,357,16.527s,segundo_teste
compressor.log,2A,256,4,1280,419,16.609s,segundo_teste
compressor.log,2A,256,8,1586,534,16.825s,segundo_teste
compressor.log,2A,256,16,2394,787,17.032s,segundo_teste
compressor.log,2A,256,32,6655,1022,17.672s,segundo_teste
compressor.log,2A,256,64,80170,31070,16.774s,segundo_teste
matriz.log,2A,256,2,17326,4549,17.127s,segundo_teste
matriz.log,2A,256,4,21380,5671,18.494s,segundo_teste
matriz.log,2A,256,8,43407,8863,14.135s,segundo_teste
matriz.log,2A,256,16,153594,44941,14.555s,segundo_teste
matriz.log,2A,256,32,262274,52661,13.769s,segundo_teste
matriz.log,2A,256,64,283464,54484,15.558s,segundo_teste
compilador.log,2A,256,2,50578,7480,18.453s,segundo_teste
compilador.log,2A,256,4,57952,8682,15.912s,segundo_teste
compilador.log,2A,256,8,78449,11300,16.153s,segundo_teste
compilador.log,2A,256,16,101937,13662,13.743s,segundo_teste
compilador.log,2A,256,32,138317,20028,14.913s,segundo_teste
compilador.log,2A,256,64,181193,36155,14.634s,segundo_teste
simulador.log,2A,256,2,27047,7959,16.843s,segundo_teste
simulador.log,2A,256,4,41151,9531,17.379s,segundo_teste
simulador.log,2A,256,8,59363,12391,13.542s,segundo_teste
simulador.log,2A,256,16,87945,16896,14.443s,segundo_teste
simulador.log,2A,256,32,130541,26026,17.053s,segundo_teste
simulador.log,2A,256,64,179898,48528,16.214s,segundo_teste
compressor.log,LRU,256,2,1134,348,15.430s,segundo_teste
compressor.log,LRU,256,4,1264,420,15.710s,segundo_teste
compressor.log,LRU,256,8,1558,540,17.189s,segundo_teste
compressor.log,LRU,256,16,2302,764,18.651s,segundo_teste
compressor.log,LRU,256,32,6524,1013,18.471s,segundo_teste
compressor.log,LRU,256,64,74278,28502,16.936s,segundo_teste
matriz.log,LRU,256,2,16791,4418,16.778s,segundo_teste
matriz.log,LRU,256,4,21656,5687,18.237s,segundo_teste
matriz.log,LRU,256,8,44904,9161,20.002s,segundo_teste
matriz.log,LRU,256,16,165115,45687,17.965s,segundo_teste
matriz.log,LRU,256,32,270086,52781,19.085s,segundo_teste
matriz.log,LRU,256,64,284027,54547,17.859s,segundo_teste
compilador.log,LRU,256,2,50674,7524,16.752s,segundo_teste
compilador.log,LRU,256,4,59089,8863,18.355s,segundo_teste
compilador.log,LRU,256,8,79010,11502,16.945s,segundo_teste
compilador.log,LRU,256,16,102959,14033,16.474s,segundo_teste
compilador.log,LRU,256,32,140671,20873,17.403s,segundo_teste
compilador.log,LRU,256,64,179986,36611,16.398s,segundo_teste
simulador.log,LRU,256,2,27355,8003,18.158s,segundo_teste
simulador.log,LRU,256,4,41186,9672,17.744s,segundo_teste
simulador.log,LRU,256,8,61335,12910,16.200s,segundo_teste
simulador.log,LRU,256,16,90243,17434,16.852s,segundo_teste
simulador.log,LRU,256,32,133374,27192,16.347s,segundo_teste
simulador.log,LRU,256,64,182456,50470,16.699s,segundo_teste
compressor.log,Random,256,2,1392,447,17.026s,segundo_teste
compressor.log,Random,256,4,1596,539,16.182s,segundo_teste
compressor.log,Random,256,8,2090,711,14.763s,segundo_teste
compressor.log,Random,256,16,3079,1031,15.979s,segundo_teste
compressor.log,Random,256,32,8812,2079,17.638s,segundo_teste
compressor.log,Random,256,64,108761,32306,16.975s,segundo_teste
matriz.log,Random,256,2,22418,5762,17.024s,segundo_teste
matriz.log,Random,256,4,35552,8517,17.444s,segundo_teste
matriz.log,Random,256,8,79403,17627,16.331s,segundo_teste
matriz.log,Random,256,16,186333,38966,15.975s,segundo_teste
matriz.log,Random,256,32,303486,53161,16.543s,segundo_teste
matriz.log,Random,256,64,356956,56225,16.478s,segundo_teste
compilador.log,Random,256,2,63930,10312,16.931s,segundo_teste
compilador.log,Random,256,4,75313,12324,18.351s,segundo_teste
compilador.log,Random,256,8,100272,16727,17.728s,segundo_teste
compilador.log,Random,256,16,134572,23448,16.784s,segundo_teste
compilador.log,Random,256,32,181591,33372,15.909s,segundo_teste
compilador.log,Random,256,64,239325,47807,15.575s,segundo_teste
simulador.log,Random,256,2,36881,10157,20.930s,segundo_teste
simulador.log,Random,256,4,52025,12805,21.513s,segundo_teste
simulador.log,Random,256,8,80799,18458,23.565s,segundo_teste
simulador.log,Random,256,16,124490,29144,20.012s,segundo_teste
simulador.log,Random,256,32,174874,45141,16.982s,segundo_teste
simulador.log,Random,256,64,251990,71681,16.787s,segundo_teste
compressor.log,FIFO,128,4,2497,851,15.919s,primeiro_teste
compressor.log,FIFO,256,4,1467,514,16.050s,primeiro_teste
compressor.log,FIFO,512,4,891,305,17.184s,primeiro_teste
compressor.log,FIFO,1024,4,511,125,19.882s,primeiro_teste
compressor.log,FIFO,2048,4,317,0,20.201s,primeiro_teste
compressor.log,FIFO,4096,4,317,0,24.244s,primeiro_teste
compressor.log,FIFO,8192,4,317,0,28.982s,primeiro_teste
compressor.log,FIFO,16384,4,317,0,38.664s,primeiro_teste
matriz.log,FIFO,128,4,81638,18172,17.191s,primeiro_teste
matriz.log,FIFO,256,4,30422,7585,16.421s,primeiro_teste
matriz.log,FIFO,512,4,17523,4932,20.166s,primeiro_teste
matriz.log,FIFO,1024,4,8551,2836,18.341s,primeiro_teste
matriz.log,FIFO,2048,4,4850,1624,18.585s,primeiro_teste
matriz.log,FIFO,4096,4,3264,969,24.602s,primeiro_teste
matriz.log,FIFO,8192,4,2798,350,28.360s,primeiro_teste
matriz.log,FIFO,16384,4,2543,0,43.684s,primeiro_teste
compilador.log,FIFO,128,4,98067,16759,16.049s,primeiro_teste
compilador.log,FIFO,256,4,70315,12053,16.770s,primeiro_teste
compilador.log,FIFO,512,4,48526,8487,17.263s,primeiro_teste
compilador.log,FIFO,1024,4,31698,5945,19.124s,primeiro_teste
compilador.log,FIFO,2048,4,15609,3425,19.199s,primeiro_teste
compilador.log,FIFO,4096,4,6673,1747,27.873s,primeiro_teste
compilador.log,FIFO,8192,4,3432,700,37.643s,primeiro_teste
compilador.log,FIFO,16384,4,2852,0,37.816s,primeiro_teste
simulador.log,FIFO,128,4,85283,18805,16.490s,primeiro_teste
simulador.log,FIFO,256,4,48301,11936,15.487s,primeiro_teste
simulador.log,FIFO,512,4,27778,8346,17.773s,primeiro_teste
simulador.log,FIFO,1024,4,15440,5426,17.045s,primeiro_teste
simulador.log,FIFO,2048,4,8089,3353,18.041s,primeiro_teste
simulador.log,FIFO,4096,4,5492,2368,20.686s,primeiro_teste
simulador.log,FIFO,8192,4,4314,1581,26.414s,primeiro_teste
simulador.log,FIFO,16384,4,3890,0,38.662s,primeiro_teste
compressor.log,2A,128,4,2119,701,17.201s,primeiro_teste
compressor.log,2A,256,4,1280,419,17.373s,primeiro_teste
compressor.log,2A,512,4,787,231,18.992s,primeiro_teste
compressor.log,2A,1024,4,432,67,19.376s,primeiro_teste
compressor.log,2A,2048,4,317,0,20.993s,primeiro_teste
compressor.log,2A,4096,4,317,0,22.857s,primeiro_teste
compressor.log,2A,8192,4,317,0,29.238s,primeiro_teste
compressor.log,2A,16384,4,317,0,38.794s,primeiro_teste
matriz.log,2A,128,4,46636,9309,17.458s,primeiro_teste
matriz.log,2A,256,4,21380,5671,15.850s,primeiro_teste
matriz.log,2A,512,4,13340,3852,17.270s,primeiro_teste
matriz.log,2A,1024,4,5729,1846,18.196s,primeiro_teste
matriz.log,2A,2048,4,3659,1171,19.155s,primeiro_teste
matriz.log,2A,4096,4,2860,777,24.617s,primeiro_teste
matriz.log,2A,8192,4,2642,254,30.062s,primeiro_teste
matriz.log,2A,16384,4,2543,0,42.005s,primeiro_teste
compilador.log,2A,128,4,83859,11522,18.888s,primeiro_teste
compilador.log,2A,256,4,57952,8682,17.090s,primeiro_teste
compilador.log,2A,512,4,40716,6046,17.423s,primeiro_teste
compilador.log,2A,1024,4,24802,4141,19.282s,primeiro_teste
compilador.log,2A,2048,4,10301,2105,17.733s,primeiro_teste
compilador.log,2A,4096,4,4381,939,22.958s,primeiro_teste
